id,n_shapes,n_dimensions,noise,image,label,split
0031,4,13,noisy,output_v5\images\drawing_0031.png,output_v5\labels\drawing_0031.json,train
0001,4,10,clean,output_v5\images\drawing_0001.png,output_v5\labels\drawing_0001.json,train
0089,4,13,slight,output_v5\images\drawing_0089.png,output_v5\labels\drawing_0089.json,train
0086,5,13,heavy,output_v5\images\drawing_0086.png,output_v5\labels\drawing_0086.json,train
0097,5,13,noisy,output_v5\images\drawing_0097.png,output_v5\labels\drawing_0097.json,train
0083,4,12,slight,output_v5\images\drawing_0083.png,output_v5\labels\drawing_0083.json,train
0028,6,17,clean,output_v5\images\drawing_0028.png,output_v5\labels\drawing_0028.json,train
0023,5,14,slight,output_v5\images\drawing_0023.png,output_v5\labels\drawing_0023.json,train
0071,6,15,slight,output_v5\images\drawing_0071.png,output_v5\labels\drawing_0071.json,train
0027,4,13,noisy,output_v5\images\drawing_0027.png,output_v5\labels\drawing_0027.json,train
0026,6,14,heavy,output_v5\images\drawing_0026.png,output_v5\labels\drawing_0026.json,train
0041,5,13,slight,output_v5\images\drawing_0041.png,output_v5\labels\drawing_0041.json,train
0017,6,19,slight,output_v5\images\drawing_0017.png,output_v5\labels\drawing_0017.json,train
0063,6,17,slight,output_v5\images\drawing_0063.png,output_v5\labels\drawing_0063.json,train
0024,6,20,heavy,output_v5\images\drawing_0024.png,output_v5\labels\drawing_0024.json,train
0021,6,20,slight,output_v5\images\drawing_0021.png,output_v5\labels\drawing_0021.json,train
0044,6,17,noisy,output_v5\images\drawing_0044.png,output_v5\labels\drawing_0044.json,train
0073,4,13,noisy,output_v5\images\drawing_0073.png,output_v5\labels\drawing_0073.json,train
0037,6,14,clean,output_v5\images\drawing_0037.png,output_v5\labels\drawing_0037.json,train
0092,5,14,clean,output_v5\images\drawing_0092.png,output_v5\labels\drawing_0092.json,train
0011,4,10,noisy,output_v5\images\drawing_0011.png,output_v5\labels\drawing_0011.json,train
0069,6,17,noisy,output_v5\images\drawing_0069.png,output_v5\labels\drawing_0069.json,train
0050,6,15,heavy,output_v5\images\drawing_0050.png,output_v5\labels\drawing_0050.json,train
0010,6,17,clean,output_v5\images\drawing_0010.png,output_v5\labels\drawing_0010.json,train
0059,4,11,slight,output_v5\images\drawing_0059.png,output_v5\labels\drawing_0059.json,train
0099,5,12,noisy,output_v5\images\drawing_0099.png,output_v5\labels\drawing_0099.json,train
0003,5,15,clean,output_v5\images\drawing_0003.png,output_v5\labels\drawing_0003.json,train
0081,6,21,heavy,output_v5\images\drawing_0081.png,output_v5\labels\drawing_0081.json,train
0072,5,14,clean,output_v5\images\drawing_0072.png,output_v5\labels\drawing_0072.json,train
0062,5,12,slight,output_v5\images\drawing_0062.png,output_v5\labels\drawing_0062.json,train
0000,5,14,noisy,output_v5\images\drawing_0000.png,output_v5\labels\drawing_0000.json,train
0043,5,13,clean,output_v5\images\drawing_0043.png,output_v5\labels\drawing_0043.json,train
0074,6,17,noisy,output_v5\images\drawing_0074.png,output_v5\labels\drawing_0074.json,train
0095,5,16,noisy,output_v5\images\drawing_0095.png,output_v5\labels\drawing_0095.json,train
0060,4,11,noisy,output_v5\images\drawing_0060.png,output_v5\labels\drawing_0060.json,train
0075,4,12,noisy,output_v5\images\drawing_0075.png,output_v5\labels\drawing_0075.json,train
0067,4,11,noisy,output_v5\images\drawing_0067.png,output_v5\labels\drawing_0067.json,train
0091,4,10,clean,output_v5\images\drawing_0091.png,output_v5\labels\drawing_0091.json,train
0016,6,14,heavy,output_v5\images\drawing_0016.png,output_v5\labels\drawing_0016.json,train
0006,5,12,slight,output_v5\images\drawing_0006.png,output_v5\labels\drawing_0006.json,train
0077,5,14,noisy,output_v5\images\drawing_0077.png,output_v5\labels\drawing_0077.json,train
0009,6,17,slight,output_v5\images\drawing_0009.png,output_v5\labels\drawing_0009.json,train
0046,4,11,slight,output_v5\images\drawing_0046.png,output_v5\labels\drawing_0046.json,train
